"Port";"Description"
4509;"Microsoft Silverlight connectable ports under non-elevated trust"
4510;"Microsoft Silverlight connectable ports under non-elevated trust"
4511;"Microsoft Silverlight connectable ports under non-elevated trust"
4512;"Microsoft Silverlight connectable ports under non-elevated trust"
4513;"Microsoft Silverlight connectable ports under non-elevated trust"
4514;"Microsoft Silverlight connectable ports under non-elevated trust"
4515;"Microsoft Silverlight connectable ports under non-elevated trust"
4516;"Microsoft Silverlight connectable ports under non-elevated trust"
4517;"Microsoft Silverlight connectable ports under non-elevated trust"
4518;"Microsoft Silverlight connectable ports under non-elevated trust"
4519;"Microsoft Silverlight connectable ports under non-elevated trust"
4520;"Microsoft Silverlight connectable ports under non-elevated trust"
4521;"Microsoft Silverlight connectable ports under non-elevated trust"
4522;"Microsoft Silverlight connectable ports under non-elevated trust"
4523;"Microsoft Silverlight connectable ports under non-elevated trust"
4524;"Microsoft Silverlight connectable ports under non-elevated trust"
4525;"Microsoft Silverlight connectable ports under non-elevated trust"
4526;"Microsoft Silverlight connectable ports under non-elevated trust"
4527;"Microsoft Silverlight connectable ports under non-elevated trust"
4528;"Microsoft Silverlight connectable ports under non-elevated trust"
4529;"Microsoft Silverlight connectable ports under non-elevated trust"
4530;"Microsoft Silverlight connectable ports under non-elevated trust"
4531;"Microsoft Silverlight connectable ports under non-elevated trust"
4532;"Microsoft Silverlight connectable ports under non-elevated trust"
4533;"Microsoft Silverlight connectable ports under non-elevated trust"
4534;"Armagetron Advanced server default"
4534;"Microsoft Silverlight connectable ports under non-elevated trust"
4560;"default Log4j socketappender port"
4567;"Sinatra default server port in development mode (HTTP)"
4569;"Inter-Asterisk eXchange (IAX2)"
4604;"Identity Registration Protocol"
4605;"Direct End to End Secure Chat Protocol"
4610;"QualiSystems TestShell Suite Services"
4611;"QualiSystems TestShell Suite Services"
4612;"QualiSystems TestShell Suite Services"
4613;"QualiSystems TestShell Suite Services"
4614;"QualiSystems TestShell Suite Services"
4615;"QualiSystems TestShell Suite Services"
4616;"QualiSystems TestShell Suite Services"
4617;"QualiSystems TestShell Suite Services"
4618;"QualiSystems TestShell Suite Services"
4619;"QualiSystems TestShell Suite Services"
4620;"QualiSystems TestShell Suite Services"
4621;"QualiSystems TestShell Suite Services"
4622;"QualiSystems TestShell Suite Services"
4623;"QualiSystems TestShell Suite Services"
4624;"QualiSystems TestShell Suite Services"
4625;"QualiSystems TestShell Suite Services"
4626;"QualiSystems TestShell Suite Services"
4627;"QualiSystems TestShell Suite Services"
4628;"QualiSystems TestShell Suite Services"
4629;"QualiSystems TestShell Suite Services"
4630;"QualiSystems TestShell Suite Services"
4631;"QualiSystems TestShell Suite Services"
4632;"QualiSystems TestShell Suite Services"
4633;"QualiSystems TestShell Suite Services"
4634;"QualiSystems TestShell Suite Services"
4635;"QualiSystems TestShell Suite Services"
4636;"QualiSystems TestShell Suite Services"
4637;"QualiSystems TestShell Suite Services"
4638;"QualiSystems TestShell Suite Services"
4639;"QualiSystems TestShell Suite Services"
4640;"QualiSystems TestShell Suite Services"
4662;"OrbitNet Message Service"
4664;"Google Desktop Search"
4672;"Default for older versions of eMule"
4711;"eMule optional web interface"
4713;"PulseAudio sound server"
4723;"Appium open source automation tool"
4724;"Default bootstrap port to use on device to talk to Appium"
4728;"Computer Associates Desktop and Server Management (DMP)/Port Multiplexer"
4730;"Gearman's job server"
4739;"IP Flow Information Export"
4747;"Apprentice"
4753;"SIMON (service and discovery)"
4789;"Virtual eXtensible Local Area Network (VXLAN)"
4791;"IP Routable RocE (RoCEv2)"
4840;"OPC UA Connection Protocol for OPC Unified Architecture from OPC Foundation"
4843;"OPC UA TCP Protocol over TLS/SSL for OPC Unified Architecture from OPC Foundation"
4847;"Web Fresh Communication, Quadrion Software & Odorless Entertainment"
4848;"Java GlassFish Application Server administration default"
4894;"LysKOM Protocol A"
4944;"DrayTek DSL Status Monitoring"
4949;"Munin Resource Monitoring Tool"
4950;"Cylon Controls UC32 Communications Port"
5000;"UPnP-Windows network device interoperability"
5000;"League of Legends, a multiplayer online battle arena video game"
5001;"Slingbox and Slingplayer"
5001;"League of Legends, a multiplayer online battle arena video game"
5002;"ASSA ARX access control system"
5002;"League of Legends, a multiplayer online battle arena video game"
5003;"FileMaker - name binding and transport"
5003;"League of Legends, a multiplayer online battle arena video game"
5004;"Real-time Transport Protocol media data (RTP)"
5004;"League of Legends, a multiplayer online battle arena video game"
5005;"Real-time Transport Protocol control protocol (RTCP)"
5005;"League of Legends, a multiplayer online battle arena video game"
5006;"League of Legends, a multiplayer online battle arena video game"
5007;"Palo Alto Networks - User-ID agent"
5007;"League of Legends, a multiplayer online battle arena video game"
5008;"League of Legends, a multiplayer online battle arena video game"
5009;"League of Legends, a multiplayer online battle arena video game"
5010;"Registered to: TelePath (the IBM FlowMark workflow-management system messaging platform)"
5010;"League of Legends, a multiplayer online battle arena video game"
5011;"TelePath (the IBM FlowMark workflow-management system messaging platform)"
5011;"League of Legends, a multiplayer online battle arena video game"
5012;"League of Legends, a multiplayer online battle arena video game"
5013;"League of Legends, a multiplayer online battle arena video game"
5014;"League of Legends, a multiplayer online battle arena video game"
5015;"League of Legends, a multiplayer online battle arena video game"
5016;"League of Legends, a multiplayer online battle arena video game"
5017;"League of Legends, a multiplayer online battle arena video game"
5018;"League of Legends, a multiplayer online battle arena video game"
5019;"League of Legends, a multiplayer online battle arena video game"
5020;"League of Legends, a multiplayer online battle arena video game"
5021;"League of Legends, a multiplayer online battle arena video game"
5022;"MSSQL Server Replication and Database mirroring endpoints"
5022;"League of Legends, a multiplayer online battle arena video game"
5023;"League of Legends, a multiplayer online battle arena video game"
5024;"League of Legends, a multiplayer online battle arena video game"
5025;"scpi-raw Standard Commands for Programmable Instruments"
5025;"League of Legends, a multiplayer online battle arena video game"
5026;"League of Legends, a multiplayer online battle arena video game"
5027;"League of Legends, a multiplayer online battle arena video game"
5028;"League of Legends, a multiplayer online battle arena video game"
5029;"Sonic Robo Blast 2 and Sonic Robo Blast 2 Kart servers"
5029;"League of Legends, a multiplayer online battle arena video game"
5030;"League of Legends, a multiplayer online battle arena video game"
5031;"AVM CAPI-over-TCP (ISDN over Ethernet tunneling)"
5031;"League of Legends, a multiplayer online battle arena video game"
5032;"League of Legends, a multiplayer online battle arena video game"
5033;"League of Legends, a multiplayer online battle arena video game"
5034;"League of Legends, a multiplayer online battle arena video game"
5035;"League of Legends, a multiplayer online battle arena video game"
5036;"League of Legends, a multiplayer online battle arena video game"
5037;"Android ADB server"
5037;"League of Legends, a multiplayer online battle arena video game"
5038;"League of Legends, a multiplayer online battle arena video game"
5039;"League of Legends, a multiplayer online battle arena video game"
5040;"League of Legends, a multiplayer online battle arena video game"
5041;"League of Legends, a multiplayer online battle arena video game"
5042;"League of Legends, a multiplayer online battle arena video game"
5043;"League of Legends, a multiplayer online battle arena video game"
5044;"Standard port in Filebeats/Logstash implementation of Lumberjack protocol"
5044;"League of Legends, a multiplayer online battle arena video game"
5045;"League of Legends, a multiplayer online battle arena video game"
5046;"League of Legends, a multiplayer online battle arena video game"
5047;"League of Legends, a multiplayer online battle arena video game"
5048;"Texai Message Service"
5048;"League of Legends, a multiplayer online battle arena video game"
5049;"League of Legends, a multiplayer online battle arena video game"
5050;"Yahoo! Messenger"
5050;"League of Legends, a multiplayer online battle arena video game"
5051;"ita-agent Symantec Intruder Alert"
5051;"League of Legends, a multiplayer online battle arena video game"
5052;"League of Legends, a multiplayer online battle arena video game"
5053;"League of Legends, a multiplayer online battle arena video game"
5054;"League of Legends, a multiplayer online battle arena video game"
5055;"League of Legends, a multiplayer online battle arena video game"
5056;"League of Legends, a multiplayer online battle arena video game"
5057;"League of Legends, a multiplayer online battle arena video game"
5058;"League of Legends, a multiplayer online battle arena video game"
5059;"League of Legends, a multiplayer online battle arena video game"
5060;"Session Initiation Protocol (SIP)"
5060;"League of Legends, a multiplayer online battle arena video game"
5061;"Session Initiation Protocol (SIP) over TLS"
5061;"League of Legends, a multiplayer online battle arena video game"
5062;"Localisation access"
5062;"League of Legends, a multiplayer online battle arena video game"
5063;"League of Legends, a multiplayer online battle arena video game"
5064;"EPICS Channel Access server"
5064;"League of Legends, a multiplayer online battle arena video game"
5065;"EPICS Channel Access repeater beacon"
5065;"League of Legends, a multiplayer online battle arena video game"
5066;"League of Legends, a multiplayer online battle arena video game"
5067;"League of Legends, a multiplayer online battle arena video game"
5068;"League of Legends, a multiplayer online battle arena video game"
5069;"League of Legends, a multiplayer online battle arena video game"
5070;"Binary Floor Control Protocol (BFCP)"
5070;"League of Legends, a multiplayer online battle arena video game"
5071;"League of Legends, a multiplayer online battle arena video game"
5072;"League of Legends, a multiplayer online battle arena video game"
5073;"League of Legends, a multiplayer online battle arena video game"
5074;"League of Legends, a multiplayer online battle arena video game"
5075;"League of Legends, a multiplayer online battle arena video game"
5076;"League of Legends, a multiplayer online battle arena video game"
5077;"League of Legends, a multiplayer online battle arena video game"
5078;"League of Legends, a multiplayer online battle arena video game"
5079;"League of Legends, a multiplayer online battle arena video game"
5080;"NEC Phone System SV8100 and SV9100 MLC phones: default iSIP port"
5080;"League of Legends, a multiplayer online battle arena video game"
5081;"League of Legends, a multiplayer online battle arena video game"
5082;"League of Legends, a multiplayer online battle arena video game"
5083;"League of Legends, a multiplayer online battle arena video game"
5084;"EPCglobal Low Level Reader Protocol (LLRP)"
5084;"League of Legends, a multiplayer online battle arena video game"
5085;"EPCglobal Low Level Reader Protocol (LLRP) over TLS"
5085;"League of Legends, a multiplayer online battle arena video game"
5086;"League of Legends, a multiplayer online battle arena video game"
5087;"League of Legends, a multiplayer online battle arena video game"
5088;"League of Legends, a multiplayer online battle arena video game"
5089;"League of Legends, a multiplayer online battle arena video game"
5090;"3CX Phone System 3CX Tunnel Protocol, 3CX App API, 3CX Session Border Controller"
5090;"League of Legends, a multiplayer online battle arena video game"
5091;"League of Legends, a multiplayer online battle arena video game"
5092;"League of Legends, a multiplayer online battle arena video game"
5093;"SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, client-to-server"
5093;"League of Legends, a multiplayer online battle arena video game"
5094;"League of Legends, a multiplayer online battle arena video game"
5095;"League of Legends, a multiplayer online battle arena video game"
5096;"League of Legends, a multiplayer online battle arena video game"
5097;"League of Legends, a multiplayer online battle arena video game"
5098;"League of Legends, a multiplayer online battle arena video game"
5099;"SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, server-to-server"
5099;"League of Legends, a multiplayer online battle arena video game"
5100;"League of Legends, a multiplayer online battle arena video game"
5101;"League of Legends, a multiplayer online battle arena video game"
5102;"League of Legends, a multiplayer online battle arena video game"
5103;"League of Legends, a multiplayer online battle arena video game"
5104;"IBM Tivoli Framework NetCOOL/Impact HTTP Service"
5104;"League of Legends, a multiplayer online battle arena video game"
5105;"League of Legends, a multiplayer online battle arena video game"
5106;"League of Legends, a multiplayer online battle arena video game"
5107;"League of Legends, a multiplayer online battle arena video game"
5108;"League of Legends, a multiplayer online battle arena video game"
5109;"League of Legends, a multiplayer online battle arena video game"
5110;"League of Legends, a multiplayer online battle arena video game"
5111;"League of Legends, a multiplayer online battle arena video game"
5112;"League of Legends, a multiplayer online battle arena video game"
5113;"League of Legends, a multiplayer online battle arena video game"
5114;"League of Legends, a multiplayer online battle arena video game"
5115;"League of Legends, a multiplayer online battle arena video game"
5116;"League of Legends, a multiplayer online battle arena video game"
5117;"League of Legends, a multiplayer online battle arena video game"
5118;"League of Legends, a multiplayer online battle arena video game"
5119;"League of Legends, a multiplayer online battle arena video game"
5120;"League of Legends, a multiplayer online battle arena video game"
5121;"Neverwinter Nights"
5121;"League of Legends, a multiplayer online battle arena video game"
5122;"League of Legends, a multiplayer online battle arena video game"
5123;"League of Legends, a multiplayer online battle arena video game"
5124;"League of Legends, a multiplayer online battle arena video game"
5125;"League of Legends, a multiplayer online battle arena video game"
5126;"League of Legends, a multiplayer online battle arena video game"
5127;"League of Legends, a multiplayer online battle arena video game"
5128;"League of Legends, a multiplayer online battle arena video game"
5129;"League of Legends, a multiplayer online battle arena video game"
